Terim,Açıklama
"Kamu Kesimi Dış Borçlanması","Kamu kesiminin dış piyasalardan yaptığı borçlanma kamu kesimi dış borçlanması olarak adlandırılıyor. Bu borçlanmada da Hazine’nin önemli bir ağırlığı söz konusu. Bu borçlanma dört şekilde yapılabiliyor: (1) Kredi almak yoluyla, (2) Tahvil ihracı yoluyla, (3) Devletlerden borçlanma, (4) Uluslararası kurumlardan borçlanma."
"Karşılıklar Politikası (Rezerve Requirements Policy)","Bankalar topladıkları mevduatın ve diğer kaynaklarının merkez bankası tarafından belirlenen oranda belirli bir miktarını, ileride karşılaşabilecekleri zorluklarda talep edip kullanabilmek için merkez bankasına yatırmak zorundadırlar. Buna zorunlu karşılıklar, bunun miktarını belirlemeye yarayan orana da karşılık oranı adı veriliyor."
"Kapasite Kullanım Oranı","Bir üretim biriminin belirli bir dönemde fiilen gerçekleştirdiği üretim miktarının fiziki olarak üretebileceği en yüksek miktara olan oranını gösterir. İmalat sanayi kapasite kullanım oranı, Merkez Bankası’nın imalat sanayi sektöründe çalışan işyerlerine her ay uyguladığı İktisadi Yönelim Anketi’ne verilen cevaplara göre hazırlanıp yayımlanır."
"Kapitülasyon","Bir devletin bir anlaşmaya bağlı olarak başka devletlere tanıdığı ekonomik ve sosyal ayrıcalıklar bütününe kapitülasyon adı verilir. Kapitülasyon Latince koşullar anlamına gelmektedir. Tarihte kazandığı özel anlamla kapitülasyon, bir ülke tarafından başka bir ülkenin vatandaşlarına verilen ticari ayrıcalıklar bütünüdür."
"Kartel","Aynı alanda üretim yapan firmaların ya da devletlerin çeşitli anlaşmalarla tekel koşullarını yaratacak şekilde birlikte hareket ettikleri yapılanmadır."
"Kaya petrolü","Kayalar arasında bulunan kerogen adlı organik maddenin çeşitli teknik yöntemlerle (Hidrojenerasyon veya termokimyasal çözültmeler gibi) dönüştürülmesiyle oluşan bir petrol türü."
"Kemer Sıkma (Önlemleri)","Kamu gelirlerini artırarak, kamu harcamalarını azaltarak ya da her ikisini bir arada yaparak kamu kesimi açığını düşürmeye çalışan önlemler bütününe kemer sıkma ya da kemer sıkma önlemleri deniyor."
"Konjonktür","Konjonktür ya da iş döngüsü, ekonomik döngü veya konjonktür devresi, ekonomik etkinlik veya üretimde birkaç ay veya yılı aşan ekonomik dalgalanmaları belirtmek için kullanılan terimdir."
"Kredi Notlarının Anlamı","Üç büyük kredi değerlendirme kuruluşu (Standard and Poor's, Moody's ve Fitch) yabancı para cinsinden verdikleri uzun vadeli kredi notlarının anlamları aşağıdaki tabloda yer almaktadır."
"Kırılgan Beşli","Morgan Stanley’in Ağustos ayı ekonomi raporunda kırılgan beşli diye bir gruplandırma ortaya atıldı. Kırılgan beşli olarak adlandırılan bu grupta Hindistan, Brezilya, Endonezya, Türkiye ve Güney Afrika yer alıyor."
"Kıyı Bankacılığı","Off Shore bankacılık ya da kıyı bankacılığı; ülke dışında sağlanan fonların, ülke dışında kullandırılması amacıyla yapılan işlemleri kapsamaktadır."
"Kira Sertifikası","Hazine Müsteşarlığı Varlık Kiralama AŞ tarafından kendi adına ve kira sertifikası sahiplerinin hesabına satın almak veya kiralamak suretiyle edinilen varlıkların finansmanını sağlamak amacıyla çıkarılan ve satın alanların bu varlıklardan elde edilen gelirlerden payları oranında gelir elde etmelerini sağlayan senetlerdir."
"Konjonktür Dalgaları (Business Cycle)","GSYH'nın uzun dönemde potansiyel GSYH çevresinde gösterdiği periyodik dalgalanmalara verilen isimdir. Dört aşamadan oluştuğu düşünülür: Tepe, daralma, dip ve genişleme."
"Konversiyon","Borçların değiştirilmesi, borç yükünün hafifletilmesi amacıyla, borçlunun ödeyeceği faiz oranında bir indirim yapılması işlemini ifade eder."
"Konvertibilite","Konvertibilite, genel olarak bir değerin bir başka değere dönüştürülebilmesi işlemini ifade eder. Para olduğunda, bir ülke parasının diğer ülke paralarına dönüştürülebilmesi anlamına gelir."
"Kur","Döviz kuru, bir ülkenin parasının yabancı paralar karşısındaki değerini belirleyen katsayıdır. Alış ve satış kuru ile birlikte döviz alım satımı yapan kurumların belirlediği oranlardır."
"Kur Rejimi","Kur rejimi, bir ülkenin kendi parasını yabancı paralarla değer açısından ilişkilendirme yöntemidir. Sabit, peg, para kurulu, dalgalı ve müdahaleli dalgalı kur rejimleri gibi çeşitleri vardır."
"Kur Savaşları","Kur savaşları, ihracatı artırmak için kendi paralarının değerini düşük tutma çabalarını ifade eder. Ülkeler arasında karşılıklı adımların alındığı bir durumdur."
"Kur Riski","Kur Riski, gelecekte döviz kurunda yaşanabilecek dalgalanmalar sonucunda varlıklar veya yükümlülüklerde meydana gelebilecek değişikliklerden zarar edilmesi olasılığıdır."
"Kur Sepeti","Kur sepeti, bir ülke parasının yabancı paralar karşısındaki değerini ölçmek için birden fazla yabancı para ile oluşturulan sepeti ifade eder."
"Küreselleşme","Sermaye akımlarının serbest kalması ile kapitalizmin dünyanın neredeyse tamamına yaygın bir sistem haline gelişi."
"Libor","LIBOR, London interbank offered rate'in kısaltmasıdır ve yüksek itibarlı bankaların borç verecekleri faiz oranını belirten bir orandır."
"Likidite tuzağı","Likidite tuzağı, para arzındaki artışların faizleri daha fazla düşüremeyeceği bir aşamayı ifade eder. Ekonomiye enjekte edilen likidite atıl birikim olarak elde tutulur."
"Maastricht Antlaşması ve Maastricht Kriterleri","1993 yılında yürürlüğe giren antlaşmadır. Üye ülkelerin Euro'ya geçiş kriterleridir. Bu kriterler arasında fiyat istikrarı, bütçe açığı, kamu borç yükü, faiz oranı ve döviz kuru istikrarı bulunur."
"Makro İhtiyati Politikalar","Bu deyim, finansal sistemde (bankalar, sigorta şirketleri, finansal kiralama şirketleri, faktoring şirketleri ve diğerleri) ortaya çıkabilecek riskleri denetlemek ve düşürmek amacını güden önlemler bütününü tanımlamak için kullanılıyor. Bu politikaları uygulamaktan güdülen amaç ise finansal sorunlar nedeniyle ortaya çıkabilecek sistemik riskin finansal sistem ve reel ekonomi üzerindeki olumsuz etkilerini sınırlamaktır."
"Mali Anestezi","Anestezi, hissetme yokluğudur. Cerrahi müdahale öncesinde, kişinin müdahalenin acısını, ağrısını hissetmemesi için vücuduna genel olarak veya lokal olarak verilen ilaçlarla hissetme yetisinin kaybı sağlanır. Mali anestezi; kişi ve kurumların tam olarak farkına varmadan vergi veya benzeri bir yükümlülüğü ödemeleri halidir. Dolaylı vergilerde geçerlidir; KDV bunun tipik örneğidir."
"Mali İllüzyon","Devlet gelirleri yeterince şeffaf bir görünümde değilse ve vergi mükellefleri tarafından net bir biçimde algılanamıyorsa devlet giderleri olduğundan daha az maliyetli sanılabilir. Bu duruma mali illüzyon deniyor."
"Mali Konsolidasyon","Harcama kalemlerinde indirime gidilmesi ya da gelirlerin artırılması yoluyla bütçe açığını ve dolayısıyla borç yükünü azaltmayı öngören uygulamalar bütününe mali konsolidasyon adı verilmektedir."
"Mali Kural","Kamu maliyesi açısından izlenecek politika iki türlü olabilir: Esnek politika ya da kurala bağlı politika. Kurallara bağlı maliye politikası söz konusu olduğunda uygulanacak maliye politikasının esneklik limitlerini belirleyen kurallara mali kural adı veriliyor."
"Mali Piyasa","Mali piyasa; borç verilebilir fonlar arzı ile bu fonlara yönelik talebin buluştuğu piyasadır. Doğrudan finansman ve dolaylı finansman olmak üzere iki tür finansman söz konusudur."
"Mali Sürüklenme","Bir ekonomide vergi gelirlerindeki otomatik artışın ekonomi üzerinde ters etki yaratarak büyüme hızını düşürmesine mali sürüklenme deniyor."
"Maliye Politikası","Ekonomik dengeyi sağlamak veya dengesizlikleri gidermek için mali araçların kullanılmasıdır. Dört temel alt politikası vardır: Vergi, harcama, borçlanma ve diğer politikalar."
"Manipülasyon","Manipülasyon; hileli yönlendirme olarak tanımlanmaktadır. Yanlış bilgi ya da söylenti yayarak yatırımcıları yanıltmak ya da bir menkul kıymetin fiyatını kasıtlı olarak düşürme veya yükseltme girişiminde bulunmaktır."
"Manşet Enflasyon","Enflasyonu ölçmekte kullanılan en geniş kapsamlı endeks TÜFE endeksidir. Enflasyon oranları açıklandığında en çok bu endeksteki değişme dikkat çeker."
"Marjinal Fayda","Son tüketilen birimin sağladığı faydaya marjinal fayda denir."
"Marjinal Fonlama Oranı","Merkez Bankası'nın bankalara kısa vadeli fon sağlaması ile ilgili bir terimdir. Gecelik fonlama faizi, Merkez Bankasının faiz koridorunun üst limitini oluşturur."
"Merkez Bankası Bağımsızlığı","Merkez Bankası’nın bağımsızlığı dört tür bağımsızlık içerir: Amaç, araç, finansal ve kurumsal bağımsızlık."
"Mevsim etkisinden arındırma","Karşılaştırmaya esas alınan verinin elde edildiği dönem arasında hava koşulları, sosyal, kültürel ve dinsel etkiler nedeniyle ortaya çıkan farklılıkların ortadan kaldırılmasıdır."
"Mortgage","Konut kredisi anlamına gelir."
"Mutlak üstünlük","Bir kişi, şirket ya da ülke bir ürünü diğerine göre daha az çaba ve kaynak harcayarak üretiyorsa o ürün açısından mutlak üstünlüğe sahiptir."
"Narh","Mal ve hizmetlerin satış fiyatlarının kamu otoriteleri tarafından belirlenmesidir. Tavan ve taban fiyat uygulamaları ile hem üreticiyi hem de tüketiciyi korumaya yöneliktir."
"Net Hata ve Noksan","Bir ülkenin dış dünya ile ekonomik ilişkilerini gösteren ödemeler dengesine ilişkin verilerin derlenmesinde ortaya çıkan hatalar ve eksikliklerin gösterildiği kalemdir."
"Kavram","Tanım"
"Neoliberalizm","Liberalizm Aydınlanma Çağının bir ürünü olarak ortaya çıkan bir yaklaşımdır. Bireyin özgür olmasını ve ekonomik güçler arasında özgür yarışmayı, devletin bireyler, sınıflar ve uluslar arasındaki ekonomik ilişkilere karışmamasını isteyen siyasal ve ekonomik öğretidir. Liberalizmi diğerlerinden farklı ve özgün kılan temel fark; bireyin toplum içindeki rolünü güçlendirmesi ve mutlak monarşik sistemlere meydan okumasıdır. 1929 bunalımından sonra liberalizmin yerini büyük ölçüde devlet müdahalesi ve piyasalara karışımlar aldı. 1970’lerden başlayarak liberalizmin yeni bir formu ya da yeni bir yorumlanış şekli neoliberalizm adıyla ortaya çıktı. Neoliberaller Adam Smith’in ulusların zenginliği kitabında öne sürdüğü ilkelere geri döndü. Adam Smith piyasada ekonomik aktivitenin devlet tarafından değil de 'görünmez bir el' tarafından sürdürülmesi gerektiğini öne sürmüştü. Neoliberalizme göre bireylerin serbest piyasada istedikleri gibi üretmesine ve satmasına olanak sağlamak topluma çok büyük bir refah getirecektir. Neoliberaller pazarın ve piyasaların devlet denetiminden tamamen çıkarılması gerekliliğini, kuralların gevşetilmesini ve özelleştirmeyi savunmaktadırlar."
"Niceliksel Gevşeme (Quantitative Easing, QE)","Merkez bankalarının piyasadaki para miktarını artırmak için tahvil ve bono satın alarak karşılığında piyasaya para arzetmelerine niceliksel gevşeme deniyor. Para politikasının bir aracı olarak kullanılan niceliksel gevşemenin amacı piyasadaki likiditeyi artırarak kredi verilmesini teşvik etmek ve bu yolla ekonomiye canlılık kazandırmaktır. İlk kez 2001 yılında deflasyon tehlikesine karşı Japon Merkez Bankası tarafından kullanılmış bir politika aracıdır. Küresel kriz sırasında Fed, İngiltere Merkez Bankası, Avrupa Merkez Bankası ve Japonya Merkez Bankası tarafından faizi düşürmenin işe yaramadığı ya da faizi düşürecek imkan kalmadığı bir ortamda ekonomiyi canlandırmanın bir yolu olarak kullanılmıştır. Bu politika aracını şimdiye kadar en yaygın kullanan merkez bankası Fed olmuştur."
"Nominal döviz kuru","Piyasada geçerli olan döviz kuruna nominal döviz kuru deniyor. Örneğin 20 Eylül Cuma 2013 gününde piyasaya bakarak geçerli kur 1 USD = 1,98 TL dediğimizde 1,98 nominal kuru gösteriyor."
"Nominal faiz","Bankaların mevduata uygulayacaklarını açıkladıkları faiz nominal faizdir. Örneğin bir banka 1 yıl vadeli mevduata yüzde 5 faiz vereceğini açıklamışsa bu nominal faizdir. Bankaların açıkladıkları nominal faizden vade sonunda gelir vergisi stopajı yapılır. Mevduat sahibinin eline geçen faiz getirisi bu kesintiden sonraki tutardır. Bu tutara net nominal faiz deniyor."
"Nörofinans","Davranışsal finansın bir dalı olarak gelişen nörofinans, psikoloji, sosyoloji ve diğer bilim dallarını ekonomiyle bir araya getirmeyi ve bu yolla insanların nasıl karar verdiklerini anlamaya çalışan bir yaklaşımdır. Bir başka ifadeyle insanların kıt kaynaklarla yola çıkıp bir karar alırken nasıl bir seçim yaptıklarını açıklamayı hedefleyen bir daldır. Niçin bazı insanlar finansal bir seçim yaparken, bir karar alırken daha çok risk üstlenirler de diğerleri bu riskler, üstlenmekten kaçarlar? Niçin bazı insanlar geleceğini daha çok düşünür ve daha çok tasarruf yapar da bazıları bugüne değer verip daha çok harcama yaparlar? Niçin bazı insanlar yatırım yaparken diğerlerine göre daha emin ve rahattırlar? Nörofinans bu sorulara yanıt arar."
"OPEC","Petrol ihraç eden ülkelerin oluşturduğu bir birliktir. Üyeleri şu ülkelerdir: Angola, Libya, Nijerya, Cezayir, İran, Irak, Kuveyt, Katar, Suudi Arabistan, Birleşik Arap Emirlikleri, Venezuela, Ekvator. OPEC, fiyatın belirlenmesini üretimi kısıtlayarak sağladığı için bir kartel özelliği göstermektedir. Buna karşılık kartel olarak adlandırılmasını sağlayan zorlayıcı bir mekanizmaya sahip değildir."
"Opsiyon İşlemi","Mal, döviz, menkul değer, faiz gibi bir varlığı belirli bir sürede sabit bir fiyattan satın alma ve satma hakkı veren yatırım aracıdır. Opsiyon sahibi, belli bir prim karşılığı satın aldığı opsiyon sözleşmesini, sözleşmede belirlenen süre içinde veya sonunda kullanma hakkına sahip olmaktadır. Opsiyon sahibinin, vade sonunda opsiyonu kullanma zorunluluğu yoktur. Opsiyon hakkını alan tarafın maksimum kaybı ödediği primdir. Opsiyon hakkını satan taraf ise bu prim kazancını elde etmektedir."
"Orta Gelir Tuzağı","Bir ekonominin belirli bir kişi başına gelir düzeyine ulaştıktan sonra orada sıkışıp kalması haline orta gelir tuzağı denir. Orta gelir tuzağı bir ekonomide kişi başına gelir düzeyinin belirli bir aşamadan öteye gidememesi ya da belirli bir gelir düzeyine ulaştıktan sonra durgunluk içine girilmesini, özetleyen bir yaklaşımdır. Bu tanımda açık olmayan konu hangi gelir düzeyinin orta gelir düzeyi olarak kabul edilmesi gerektiği meselesidir."
"Ortodoks Ekonomik Yaklaşım","Ortodoks sözcüğü, ekonomideki kullanımı itibariyle; 'ana akıma uygun olan teori ve uygulamalar' anlamına geliyor."
"Otomatik Stabilizatörler","Başlıktaki otomatik sözcüğünü Türkçe’de 'kendiliğinden, kendi başına', stabilizatör sözcüğünü 'dengeleyici' olarak karşılamak mümkün. Buna göre otomatik stabilizatörün anlamı 'kendiliğinden denge sağlayıcı (mekanizma)' oluyor. Bu deyim daha çok kamu maliyesi ve maliye politikasında geçiyor."
"Ödemeler Dengesi (Balance of Payments)","Bir ekonomide yerleşik olan kişilerin belirli bir süre (ay, üç ay ya da yıl) boyunca başka ekonomilerde yerleşik kişilerle yaptığı ekonomik işlemlerin kaydedildiği hesaplardan çıkarılan tablonun adıdır. Ödemeler dengesi 5 dengeden oluşur: Cari işlemler hesabı, sermaye hesabı, finans hesabı, net hata ve noksan, rezerv varlıklar."
"Örümcek Ağı Teoremi","Tarım ürünlerinin üretilmesi belirli bir zaman süresini gerektirir ve mevsimlere bağlıdır. O nedenle bu ürünlerin fiyatında herhangi bir nedenle ortaya çıkacak artışlara dayalı olarak üretim miktarını yani arzı hemen artırmak mümkün olmaz. Mesela arpa, buğday gibi hububatın üretimi bir yıllık bir süreye ihtiyaç gösterir."
"Özelleştirme (Privatisation)","Özelleştirme dar anlamda kamu kesimi elinde bulunan şirket paylarının özel kesime aktarılması, geniş anlamda ise kamu kesimi tarafından yönetilen üretim birimlerinin yönetiminin özel kesime devri olarak tanımlanabilir."
"Para","Mal ve hizmetleri satın almaya, değer saklamaya ve değer ölçüsü görevi görmeye yarayan araca para denir. Bu tanıma göre paranın üç temel işlevi var: (1) Malların değiş tokuşuna aracılık etmek. (2) Değer ölçüsü görevi görmek. (3) Değer saklama görevi yapmak."
"Para Arzı (Money Supply, Money Stock)","Bir ekonomide belirli bir anda mevcut para stokuna para arzı deniyor. Para tanımını dar tanımdan geniş tanıma göre sıraladığımızda karşımıza bazı ayrıntılı para arzı kavramları çıkıyor."
"Para Piyasası (Money Market)","Kısa vadeli, yüksek likidite taşıyan finansal araçların işlem gördüğü piyasaya para piyasası deniyor."
"Para Politikası (Monetary Policy)","Para politikası, merkez bankalarının bazı araçları kullanarak piyasadaki para miktarını etkileyerek piyasaya sürdüğü paranın istikrarını sağlamak amacıyla uyguladığı politikalar bütününe verilen addır."
"Para Politikası Araçları (Monetary Policy Tools)","Para politikası denildiğinde üç grupta toplanabilecek alt politikalar anlaşılıyor."
"Paradigma","Bir alandaki geçerli model veya kurallar bütünü; öncelikle dilbilgisi için kullanılmış, sonrasında bilimlere yayılmıştır."
"Paranın Dolaşım Hızı (Velocity)","Bir birim paranın ne kadar mal veya hizmet alımında kullanıldığını gösteren ölçü."
"Parasal Aktarım Mekanizması","Parasal değişkenlerin toplam talep ve enflasyonu etkilediği süreçleri açıklayan mekanizma; üç aşamadan oluşur: para politikası değişikliklerinin etkisi, talep etkisi ve fiyatlama davranışları."
"Parasal Taban (Para Bazı)","Dolaşımdaki para ve bankaların Merkez Bankası'ndaki zorunlu karşılıklarının toplamı."
"Parite","İki ülke parasının birbirine karşı alım satım değeri; genellikle döviz kurları ile ifade edilir."
"PMI Endeksi","Satın alma yöneticilerinin mal ve hizmet taleplerine ilişkin eğilimlerini gösteren endeks; ekonomik büyüme öngörülerini değerlendirir."
"Post Otistik Ekonomi","Neoklasik ekonomi öğretisine karşıt bir düşünce akımı; matematiğin ekonomi biliminin merkezi bir unsuru haline geldiğini eleştirir."
"Rasyonel beklentiler (Rational Expectations)","İnsanların geleceğe ilişkin beklentilerini, ellerinde bulunan tüm açıklanmış verileri kullanarak oluşturması gerektiğini savunan yaklaşım."
"Reel Döviz Kuru (Real Effective Exchange Rate)","İki ülkenin para birimleri arasında geçerli nominal döviz kurunun aynı malların fiyatlarıyla karşılaştırılmasıyla hesaplanan kur."
"Reel Efektif Döviz Kuru Endeksi (REK)","Nominal efektif döviz kurunun göreli fiyat veya maliyet farklarıyla düzeltilmiş halidir."
"Reel Faiz (Real Interest Rate)","Net nominal faizden enflasyonun etkisinin giderilmesi yoluyla hesaplanan faizdir."
"Reeskont (Rediscount)","Vadesi gelmemiş ticari senetlerin bir bankaya daha düşük bir değerle satılmasına iskonto denir; ikinci kez iskonto reeskont olarak tanımlanır."
"Reeskont Faizi (Rediscount Rate)","Merkez Bankası'nın ticari senetleri reeskonta sokarken uyguladığı faizdir."
"Reeskont Kredisi","Bankaların, Merkez Bankası'ndan reeskont yoluyla aldıkları kredidir."
"Reeskont Politikası (Rediscount Policy)","Merkez Bankası'nın piyasa likiditesini etkilemek amacıyla reeskont faiz oranını değiştirmesi."
"Repo ve Ters Repo","Repo, geçici likidite sağlamak için menkul değerlerin geri satımıdır; ters repo ise fazla likiditenin çekilmesidir."
"Resesyon (Recession)","Ekonomik faaliyetlerin daralması; üst üste iki çeyrek GSYH küçülmesi resesyon olarak tanımlanır."
"Reyting ya da Kredi Değerliliği Ölçüsü (Rating)","Bir ülke veya şirketin kredi değerliliğini ölçen sistem; reyting kuruluşları tarafından gerçekleştirilir."
"Rezerv Opsiyon Mekanizması ve Rezerv Opsiyon Katsayısı (ROK)","TCMB'nin bankaların zorunlu karşılıklarının bir kısmını döviz veya altın cinsinden yatırmalarına izin verdiği mekanizma."
"Rezerv Para","Uluslararası geçerliliği olan ve ticarette yaygın kullanılan para; ayrıca merkez bankasındaki rezervlerle de tanımlanır."
"Saç Traşı (Haircut)","Herhangibir varlığın teminat olarak kullanılması halinde alabileceği değer ile piyasa değeri arasındaki farka saç traşı deniyor."
"Satınalma Gücü Paritesi (SAGP ya SGP)","Satınalma gücü paritesi (SAGP) ülkeler arasındaki fiyat düzeyi farklılıklarını ortadan kaldırarak farklı para birimlerinin satın alma güçlerini eşitleyen bir değişim oranını ifade ediyor."
"Sermaye - Hasıla Katsayısı","Bir ekonomide mevcut sermaye stoku ile GSYH arasındaki ilişkiye ortalama sermaye hasıla katsayısı ya da oranı adı veriliyor."
"Sıcak Para (Hot Money)","Sıcak para, bir ülkedeki yüksek faizlerden, yüksek getirilerden yararlanmak üzere o ülkeye gelen dövizlere verilen addır."
"Slumpflasyon","Bir ekonomide enflasyon olgusu yaşanırken ekonomi küçülüyorsa o ekonomide slumpflasyon (enflasyon içinde küçülme) hali var demektir."
"Spekülasyon","Spekülasyon; bir yatırım aracı ya da mal ile ilgili olarak risk üstlenerek gelecekte oluşacak fiyat değişimlerinden kâr elde etmeye çalışma eylemidir."
"Spot Piyasa","Spot Piyasa; bir ürünün alış veya satışının, işlem tarihinde belirlenen fiyat üzerinden en geç iki iş günü sonrasında gerçekleştirildiği piyasadır."
"Stagflasyon","Bir ekonomide enflasyon olgusu yaşanırken ekonomi büyümüyorsa o ekonomide stagflasyon (enflasyon içinde durgunluk) hali var demektir."
"Sterilizasyon","Sterilizasyon, cari açık ya da fazlanın para arzındaki değişimler aracılığıyla yaratabileceği olumsuz etkileri gidermek için yürütülen para politikası uygulamalarıdır."
"Stres Testi","Ekonomide olumsuz gelişmelerin ortaya çıkması halinde finans kuruluşlarının bu gelişmelere karşı koyabilmek için yeterli miktarda sermaye bulundurup bulundurmadığının tespiti için uygulanan bir testtir."
"Stok Değişimi","Stoklardaki miktarın artması ya da azalmasına stok değişimi denir. Stok değişimi iki şekilde olur: ekleme yapılması ya da kullanım yapılması."
"Sukuk","Sukuk, finansal sertifikaları ifade eder; İslami tahvil veya bono olarak tanımlanabilir."
"Swap İşlemi","İki tarafın birbirlerine belirli süreler sonunda ödeme taahhütlerini içeren bir sözleşmedir."
"Şangay İşbirliği Örgütü","Şangay İşbirliği Örgütü, siyasal, ekonomik, askeri alanlarda işbirliğini geliştirmeyi amaçlayan bir örgüttür."
"Tahkim (Konsolidasyon)","Tahkim, kısa vadeli borçların uzun vadeli hale getirilmesi olarak tanımlanabilir."
"Tarife Dışı Engeller (Non Tariff Trade Barriers)","Gümrük tarifesi dışında, uluslararası mal ve hizmet akımlarının serbest ticaret koşullarına engel olan her türlü araç ve politikadır."
"Tasarruf Çelişkisi","Toplumda herkesin aynı anda tasarrufa başlaması, toplam talebin ve dolayısıyla toplam gelirin düşmesine yol açar."
"Takvim etkisinden arındırma","Verinin elde edildiği dönem arasında hafta sonu, resmi tatil gibi farklılıkların giderilmesine takvim etkisinden arındırma deniyor."
"Takvim ve mevsim etkisinden arındırma","Verinin elde edildiği tarih arasındaki hem takvim hem de mevsim etkisi farklarının giderilmesine takvim ve mevsim etkilerinden arındırma deniyor."
"Taylor Kuralı","Merkez bankalarının kısa dönem borç verme faiz oranlarını belirleyen bir para politikası kuralıdır."
"Tekel","Bir pazarda bir ürünü üreten ya da pazarlayan tek bir firmanın bulunması durumudur."
"Teknik Analiz","Fiyat, miktar, hacim gibi göstergelerden hareketle geçmiş piyasa hareketlerinin analiz edilmesidir."
"Tezgahüstü Piyasa","Taraflar arasında doğrudan alınıp satılabilen piyasalardır."
"Tobin Vergisi (Tobin Tax)","Yabancı kaynakların uzun süre kalmasını sağlamak için uygulanan bir vergidir."
"Toksik Varlıklar","Olumsuz bir gelişme halinde büyük ölçüde değer kaybı yaşayan finansal varlıklara toksik varlık deniyor."
"Troika","Borç krizi sırasında kurtarma paketlerini hazırlayan üç kuruluşun (Avrupa Komisyonu, Avrupa Merkez Bankası ve IMF) oluşturduğu gruptur."
"Tutsat","Konut, arsa gibi taşınmaz mallar üzerinden gerçekleştirilecek ipotek karşılığında uzun vadeli konut kredilerini ifade eder."
Tüketim Fonksiyonu,"Tüketim harcamalarının harcanabilir gelirle ilişkisini gösterir. Gelir arttıkça tüketim artar, ancak artış hızı daha yavaş olur."
Türev Ürünler,"Başka bir değerin getirisine bağlı olarak türetilmiş araçlardır. Riskten korunma veya getiri sağlama amacı taşır."
Türk Lirası Depo Alım İhalesi İşlemleri,"Merkez Bankası'nın Türk lirası likidite fazlasını sterilize etmek için bankalardan ihale yöntemiyle depo almasıdır."
Tüyo,"Kamuya açıklanmamış ve sermaye piyasası araçları üzerinde etkili olabilecek bilgilerdir. Bilgi suiistimali ile ilişkilidir."
Uluslararası Yatırım Pozisyonu,"Bir ülkede yerleşik kişilerin yurtdışındaki finansal alacakları ve yükümlülüklerinin belirli bir tarihteki değeridir."
Uyarlanmış Beklentiler,"İnsanların geleceğe dair beklentilerini geçmiş deneyimlerine dayandırarak oluşturdukları bir yaklaşımdır."
Ülke Riski,"Bir ülkedeki borçluların yurt dışı yükümlülüklerini yerine getirememe olasılığına bağlı riskleri ifade eder."
Üretim Fonksiyonu,"Üretim faktörleri ile elde edilen ürünler arasındaki ilişkinin fonksiyonel bir biçimde ifade edilmesidir."
Varant,"Belirli bir tarihten önce dayanak varlığı alma veya satma imkanı tanıyan yatırım aracıdır."
Varlık Fonu,"Devletin sahip olduğu finansal varlıklara yatırım yaparak gelirini artırmayı hedefleyen fonlardır."
Varlık Vergisi,"Kişilerin sahip olduğu varlıklar üzerinden alınan vergidir."
Vergi Gayreti,"Vergi kapasitesi ile tahsil edilen vergi miktarı arasındaki oransal ilişkiyi ifade eder."
Vergi Kapasitesi,"Bir ülkede belli bir dönemde vergilendirilebilecek potansiyeli ifade eder."
Verimlilik,"Belirli bir zaman aralığında bir birim girdi ile elde edilen ürün oranıdır."
VİOP,"Borsa İstanbul Vadeli İşlem ve Opsiyon Piyasası'dır. Vadeli işlem ve opsiyon sözleşmeleri alınıp satılır."
Volatilite,"Finansal varlıkların fiyat değişimlerini ifade eder. Yüksek volatilite yüksek risk anlamına gelir."
Yap - İşlet - Devret modeli,"Kamu altyapı yatırımlarının özel sektör tarafından yapılması, işletilmesi ve sonra devredilmesi modelidir."
Yapılandırılmış Finansal Ürünler,"Getiri veya koruma seçeneklerinin farklılaştırıldığı, kişiye özel yapılandırılabilen ürünlerdir."
Yapısal Reform,"Bir sistemin verimliliğini artırmak için yapılan köklü değişikliklerdir."
Yastık Altı Birikimi,"Tasarrufların banka yerine evde saklanması durumunu ifade eder."
Yatırım Fonu,"Tasarrufların profesyonel yöneticiler tarafından yönetilerek değerlendirilmesini sağlayan bir yatırım aracıdır."
Yatırım Yapılabilir Ülke Statüsü,"BBB ya da Baa düzeyinde nota sahip olmayı gerektiren statüdür."
Yeniden Yapılandırma,"Borç-alacak ilişkilerinin yeni koşullara göre düzenlenmesidir."
ZEW Endeksi,"Alman ekonomisinin gidişi hakkında bilgi veren aylık güven endeksidir."
Zorunlu Karşılıklar,"Bankaların Merkez Bankasında tutması zorunlu olan mevduat karşılığı miktarlardır."
